Time,Label,MQ2_2,MQ4_2,MQ6_2,MQ9_2,MQ135_2,MQ136_2,MQ137_2,MQ138_2
1,1,0.682016836,0.743254537,0.788340256,0.689651567,0.592100631,0.619679232,0.71504036,0.016235843
2,1,0.682016836,0.743254537,0.787261023,0.697289849,0.58863339,0.62402331,0.713236581,0.016105024
3,1,0.680084147,0.737385769,0.787261023,0.697289849,0.592100631,0.619679232,0.713236581,0.016119527
4,1,0.682016836,0.743254537,0.787261023,0.689651567,0.592100631,0.62402331,0.71144114,0.01626501
5,1,0.680084147,0.743254537,0.787261023,0.689651567,0.58863339,0.619679232,0.71144114,0.016076049
6,1,0.680084147,0.743254537,0.786184169,0.689651567,0.58863339,0.62402331,0.709653903,0.016148566
7,1,0.678161583,0.743254537,0.785109866,0.689651567,0.592100631,0.615393448,0.709653903,0.016163101
8,1,0.678161583,0.737385769,0.785109866,0.689651567,0.592100631,0.611164805,0.707874868,0.016177636
9,1,0.678161583,0.737385769,0.785109866,0.689651567,0.58863339,0.615393448,0.707874868,0.01626501
10,1,0.678161583,0.737385769,0.785109866,0.689651567,0.592100631,0.606992188,0.704341069,0.016076049
11,1,0.676249034,0.737385769,0.784037772,0.689651567,0.58863339,0.611164805,0.702586169,0.016250443
12,1,0.676249034,0.737385769,0.784037772,0.697289849,0.592100631,0.611164805,0.704341069,0.016250443
13,1,0.676249034,0.731606623,0.782968229,0.689651567,0.592100631,0.611164805,0.704341069,0.016250443
14,1,0.676249034,0.731606623,0.782968229,0.689651567,0.595607512,0.606992188,0.700839269,0.01609052
15,1,0.676249034,0.737385769,0.782968229,0.682175792,0.592100631,0.606992188,0.700839269,0.016250443
16,1,0.676249034,0.731606623,0.781901067,0.682175792,0.592100631,0.606992188,0.6991003,0.016206707
17,1,0.674346442,0.731606623,0.782968229,0.697289849,0.592100631,0.606992188,0.6991003,0.016076049
18,1,0.674346442,0.731606623,0.781901067,0.689651567,0.58863339,0.602874462,0.697369195,0.016076049
19,1,0.674346442,0.731606623,0.781901067,0.689651567,0.592100631,0.602874462,0.695645819,0.016206707
20,1,0.672453695,0.737385769,0.781901067,0.689651567,0.592100631,0.602874462,0.695645819,0.016192172
21,1,0.674346442,0.731606623,0.781901067,0.689651567,0.592100631,0.598810568,0.693930239,0.016163101
22,1,0.672453695,0.731606623,0.779773881,0.697289849,0.58863339,0.606992188,0.693930239,0.016105024
23,1,0.672453695,0.731606623,0.779773881,0.682175792,0.592100631,0.602874462,0.69222232,0.016148566
24,1,0.672453695,0.731606623,0.779773881,0.689651567,0.58863339,0.598810568,0.69222232,0.016221275
25,1,0.672453695,0.72591503,0.779773881,0.689651567,0.595607512,0.602874462,0.69222232,0.016206707
26,1,0.672453695,0.731606623,0.779773881,0.689651567,0.595607512,0.602874462,0.690522061,0.016076049
27,1,0.668697453,0.731606623,0.778713859,0.682175792,0.592100631,0.602874462,0.69222232,0.016382067
28,1,0.670570736,0.731606623,0.779773881,0.689651567,0.595607512,0.602874462,0.690522061,0.016163101
29,1,0.670570736,0.731606623,0.778713859,0.682175792,0.592100631,0.602874462,0.690522061,0.016163101
30,1,0.668697453,0.72591503,0.778713859,0.689651567,0.592100631,0.602874462,0.690522061,0.016119527
31,1,0.668697453,0.72591503,0.777656217,0.682175792,0.58863339,0.598810568,0.687144255,0.016235843
32,1,0.668697453,0.72591503,0.776600955,0.689651567,0.592100631,0.602874462,0.687144255,0.016235843
33,1,0.666833791,0.720309022,0.776600955,0.682175792,0.58863339,0.598810568,0.687144255,0.016076049
34,1,0.666833791,0.720309022,0.776600955,0.682175792,0.592100631,0.602874462,0.687144255,0.016177636
35,1,0.666833791,0.720309022,0.777656217,0.682175792,0.592100631,0.598810568,0.687144255,0.016105024
36,1,0.664979748,0.72591503,0.776600955,0.674857414,0.592100631,0.602874462,0.687144255,0.016206707
37,1,0.666833791,0.72591503,0.776600955,0.682175792,0.58863339,0.598810568,0.685466639,0.016105024
38,1,0.666833791,0.720309022,0.775547903,0.682175792,0.592100631,0.602874462,0.685466639,0.01613403
39,1,0.666833791,0.72591503,0.775547903,0.674857414,0.592100631,0.598810568,0.687144255,0.015931694
40,1,0.666833791,0.71478669,0.776600955,0.682175792,0.58863339,0.598810568,0.685466639,0.015859823
41,1,0.666833791,0.720309022,0.775547903,0.682175792,0.592100631,0.598810568,0.685466639,0.016192172
42,1,0.666833791,0.720309022,0.774497401,0.682175792,0.595607512,0.594799431,0.683796481,0.016221275
43,1,0.664979748,0.720309022,0.774497401,0.682175792,0.58863339,0.598810568,0.683796481,0.016163101
44,1,0.664979748,0.71478669,0.775547903,0.674857414,0.592100631,0.594799431,0.685466639,0.01598932
45,1,0.664979748,0.720309022,0.774497401,0.682175792,0.592100631,0.590840085,0.683796481,0.015902913
46,1,0.664979748,0.720309022,0.773449109,0.674857414,0.58863339,0.598810568,0.683796481,0.016192172
47,1,0.663135156,0.720309022,0.773449109,0.682175792,0.58863339,0.598810568,0.682133645,0.016294242
48,1,0.661299959,0.71478669,0.772403028,0.682175792,0.592100631,0.594799431,0.682133645,0.016076049
49,1,0.661299959,0.720309022,0.772403028,0.674857414,0.58863339,0.598810568,0.682133645,0.016119527
50,1,0.663135156,0.71478669,0.772403028,0.682175792,0.58863339,0.598810568,0.682133645,0.016221275
51,1,0.661299959,0.71478669,0.772403028,0.674857414,0.585205098,0.598810568,0.682133645,0.016119527
52,1,0.661299959,0.71478669,0.772403028,0.682175792,0.585205098,0.602874462,0.682133645,0.01609052
53,1,0.661299959,0.71478669,0.771359497,0.674857414,0.585205098,0.598810568,0.683796481,0.01613403
54,1,0.659474101,0.71478669,0.772403028,0.674857414,0.585205098,0.598810568,0.682133645,0.016119527
55,1,0.659474101,0.71478669,0.772403028,0.674857414,0.585205098,0.598810568,0.682133645,0.016294242
56,1,0.661299959,0.71478669,0.772403028,0.682175792,0.58863339,0.602874462,0.682133645,0.01627961
57,1,0.661299959,0.71478669,0.771359497,0.674857414,0.58863339,0.598810568,0.680478197,0.016192172
58,1,0.661299959,0.71478669,0.770318006,0.682175792,0.585205098,0.598810568,0.682133645,0.016235843
59,1,0.659474101,0.709346163,0.770318006,0.674857414,0.58863339,0.598810568,0.680478197,0.016076049
60,1,0.659474101,0.71478669,0.770318006,0.682175792,0.585205098,0.594799431,0.682133645,0.016206707
61,1,0.659474101,0.709346163,0.769279065,0.674857414,0.585205098,0.594799431,0.680478197,0.016032636
62,1,0.659474101,0.709346163,0.769279065,0.674857414,0.58863339,0.598810568,0.682133645,0.01609052
63,1,0.659474101,0.709346163,0.769279065,0.682175792,0.585205098,0.598810568,0.680478197,0.016061578
64,1,0.657657525,0.709346163,0.769279065,0.674857414,0.585205098,0.598810568,0.682133645,0.016061578
65,1,0.657657525,0.709346163,0.769279065,0.667691492,0.585205098,0.590840085,0.682133645,0.01598932
66,1,0.657657525,0.703985652,0.769279065,0.674857414,0.585205098,0.598810568,0.682133645,0.016105024
67,1,0.657657525,0.709346163,0.768242334,0.674857414,0.585205098,0.594799431,0.680478197,0.016076049
68,1,0.657657525,0.709346163,0.769279065,0.674857414,0.585205098,0.598810568,0.682133645,0.016061578
69,1,0.657657525,0.709346163,0.769279065,0.674857414,0.585205098,0.594799431,0.680478197,0.016235843
70,1,0.657657525,0.709346163,0.769279065,0.674857414,0.585205098,0.598810568,0.680478197,0.01613403
71,1,0.655850175,0.703985652,0.767207813,0.674857414,0.585205098,0.594799431,0.680478197,0.016250443
72,1,0.657657525,0.709346163,0.768242334,0.674857414,0.585205098,0.594799431,0.678830004,0.016250443
73,1,0.655850175,0.709346163,0.768242334,0.674857414,0.585205098,0.594799431,0.680478197,0.016192172
74,1,0.655850175,0.709346163,0.768242334,0.674857414,0.585205098,0.594799431,0.678830004,0.016047107
75,1,0.655850175,0.703985652,0.767207813,0.674857414,0.585205098,0.598810568,0.678830004,0.016119527
76,1,0.655850175,0.703985652,0.767207813,0.674857414,0.581815107,0.594799431,0.678830004,0.01598932
77,1,0.655850175,0.703985652,0.767207813,0.674857414,0.581815107,0.598810568,0.680478197,0.016105024
78,1,0.655850175,0.703985652,0.767207813,0.674857414,0.581815107,0.594799431,0.680478197,0.01609052
79,1,0.654051938,0.703985652,0.767207813,0.674857414,0.585205098,0.598810568,0.680478197,0.015960475
80,1,0.655850175,0.703985652,0.766175673,0.682175792,0.581815107,0.598810568,0.680478197,0.016119527
81,1,0.654051938,0.703985652,0.767207813,0.674857414,0.585205098,0.598810568,0.678830004,0.016250443
82,1,0.655850175,0.698703384,0.766175673,0.674857414,0.585205098,0.594799431,0.678830004,0.01626501
83,1,0.654051938,0.703985652,0.766175673,0.674857414,0.585205098,0.598810568,0.678830004,0.016119527
84,1,0.652262703,0.703985652,0.765145743,0.674857414,0.581815107,0.598810568,0.678830004,0.016061578
85,1,0.654051938,0.703985652,0.765145743,0.674857414,0.581815107,0.598810568,0.678830004,0.016061578
86,1,0.654051938,0.703985652,0.765145743,0.667691492,0.581815107,0.594799431,0.677189065,0.016061578
87,1,0.654051938,0.703985652,0.765145743,0.674857414,0.585205098,0.598810568,0.678830004,0.016076049
88,1,0.652262703,0.698703384,0.766175673,0.667691492,0.581815107,0.598810568,0.678830004,0.016294242
89,1,0.654051938,0.709346163,0.765145743,0.674857414,0.585205098,0.594799431,0.680478197,0.016119527
90,1,0.652262703,0.698703384,0.765145743,0.667691492,0.581815107,0.594799431,0.678830004,0.01609052
91,1,0.652262703,0.703985652,0.764118022,0.667691492,0.581815107,0.594799431,0.678830004,0.016221275
92,1,0.650482525,0.698703384,0.764118022,0.667691492,0.581815107,0.598810568,0.677189065,0.016105024
93,1,0.654051938,0.698703384,0.764118022,0.667691492,0.581815107,0.598810568,0.677189065,0.016119527
94,1,0.652262703,0.698703384,0.764118022,0.674857414,0.57846279,0.594799431,0.678830004,0.016163101
95,1,0.652262703,0.698703384,0.763092682,0.667691492,0.585205098,0.594799431,0.677189065,0.01609052
96,1,0.650482525,0.698703384,0.763092682,0.667691492,0.581815107,0.594799431,0.677189065,0.016163101
97,1,0.652262703,0.693497685,0.763092682,0.667691492,0.581815107,0.598810568,0.677189065,0.016206707
98,1,0.650482525,0.703985652,0.763092682,0.674857414,0.581815107,0.594799431,0.677189065,0.016235843
99,1,0.650482525,0.698703384,0.763092682,0.674857414,0.57846279,0.594799431,0.678830004,0.016148566
100,1,0.650482525,0.698703384,0.763092682,0.667691492,0.581815107,0.594799431,0.677189065,0.016221275
101,1,0.652262703,0.698703384,0.763092682,0.674857414,0.581815107,0.598810568,0.678830004,0.016003759
102,1,0.650482525,0.693497685,0.763092682,0.667691492,0.581815107,0.594799431,0.678830004,0.016061578
103,1,0.650482525,0.693497685,0.763092682,0.667691492,0.581815107,0.598810568,0.677189065,0.016076049
104,1,0.650482525,0.698703384,0.762069552,0.674857414,0.581815107,0.594799431,0.678830004,0.01626501
105,1,0.650482525,0.693497685,0.762069552,0.667691492,0.581815107,0.598810568,0.677189065,0.016192172
106,1,0.650482525,0.698703384,0.762069552,0.660673333,0.581815107,0.594799431,0.678830004,0.016119527
107,1,0.650482525,0.693497685,0.763092682,0.667691492,0.581815107,0.598810568,0.677189065,0.016119527
108,1,0.650482525,0.693497685,0.762069552,0.667691492,0.581815107,0.590840085,0.677189065,0.016105024
109,1,0.650482525,0.693497685,0.761048633,0.667691492,0.57846279,0.594799431,0.677189065,0.016119527
110,1,0.650482525,0.698703384,0.761048633,0.667691492,0.57846279,0.594799431,0.677189065,0.016105024
111,1,0.648711235,0.693497685,0.761048633,0.667691492,0.57846279,0.594799431,0.677189065,0.016076049
112,1,0.648711235,0.693497685,0.761048633,0.667691492,0.581815107,0.594799431,0.675555312,0.016119527
113,1,0.648711235,0.693497685,0.761048633,0.660673333,0.5751475,0.594799431,0.677189065,0.016018198
114,1,0.648711235,0.688366884,0.760030093,0.667691492,0.57846279,0.590840085,0.677189065,0.016119527
115,1,0.648711235,0.698703384,0.760030093,0.660673333,0.57846279,0.594799431,0.675555312,0.016047107
116,1,0.648711235,0.693497685,0.761048633,0.667691492,0.581815107,0.594799431,0.677189065,0.016119527
117,1,0.646948834,0.693497685,0.760030093,0.667691492,0.57846279,0.594799431,0.675555312,0.016105024
118,1,0.646948834,0.693497685,0.760030093,0.660673333,0.57846279,0.594799431,0.677189065,0.01613403
119,1,0.648711235,0.693497685,0.760030093,0.667691492,0.57846279,0.594799431,0.675555312,0.01613403
120,1,0.648711235,0.698703384,0.759013594,0.667691492,0.57846279,0.590840085,0.675555312,0.016177636
121,1,0.648711235,0.688366884,0.759013594,0.667691492,0.57846279,0.594799431,0.675555312,0.016076049
122,1,0.646948834,0.693497685,0.759013594,0.660673333,0.57846279,0.590840085,0.675555312,0.016105024
123,1,0.646948834,0.693497685,0.759013594,0.667691492,0.581815107,0.594799431,0.673928744,0.01598932
124,1,0.646948834,0.688366884,0.759013594,0.660673333,0.57846279,0.598810568,0.675555312,0.016148566
125,1,0.646948834,0.688366884,0.759013594,0.667691492,0.57846279,0.594799431,0.673928744,0.016076049
126,1,0.648711235,0.693497685,0.759013594,0.660673333,0.57846279,0.598810568,0.675555312,0.016047107
127,1,0.646948834,0.688366884,0.759013594,0.667691492,0.57846279,0.594799431,0.675555312,0.016177636
128,1,0.646948834,0.688366884,0.757999305,0.660673333,0.57846279,0.594799431,0.675555312,0.016177636
129,1,0.646948834,0.688366884,0.757999305,0.660673333,0.5751475,0.590840085,0.675555312,0.01609052
130,1,0.646948834,0.683309385,0.757999305,0.660673333,0.57846279,0.590840085,0.675555312,0.015946068
131,1,0.646948834,0.688366884,0.757999305,0.667691492,0.57846279,0.590840085,0.677189065,0.016163101
132,1,0.646948834,0.688366884,0.759013594,0.660673333,0.581815107,0.590840085,0.675555312,0.016105024
133,1,0.646948834,0.693497685,0.759013594,0.660673333,0.57846279,0.594799431,0.675555312,0.016003759
134,1,0.645195209,0.688366884,0.757999305,0.660673333,0.5751475,0.590840085,0.675555312,0.016061578
135,1,0.645195209,0.688366884,0.756987395,0.660673333,0.5751475,0.590840085,0.675555312,0.01609052
136,1,0.645195209,0.688366884,0.756987395,0.660673333,0.5751475,0.590840085,0.673928744,0.016192172
137,1,0.645195209,0.688366884,0.757999305,0.65379839,0.57846279,0.590840085,0.673928744,0.016047107
138,1,0.643450303,0.688366884,0.756987395,0.660673333,0.5751475,0.590840085,0.675555312,0.016192172
139,1,0.645195209,0.683309385,0.756987395,0.660673333,0.5751475,0.590840085,0.675555312,0.016163101
140,1,0.645195209,0.683309385,0.755977527,0.660673333,0.57846279,0.590840085,0.673928744,0.016032636
141,1,0.643450303,0.683309385,0.756987395,0.660673333,0.5751475,0.594799431,0.673928744,0.01609052
142,1,0.645195209,0.688366884,0.756987395,0.660673333,0.5751475,0.590840085,0.673928744,0.016032636
143,1,0.645195209,0.683309385,0.756987395,0.660673333,0.57846279,0.590840085,0.673928744,0.016221275
144,1,0.645195209,0.688366884,0.755977527,0.660673333,0.57846279,0.590840085,0.673928744,0.01598932
145,1,0.643450303,0.683309385,0.755977527,0.660673333,0.57846279,0.590840085,0.673928744,0.016018198
146,1,0.643450303,0.683309385,0.755977527,0.660673333,0.5751475,0.590840085,0.673928744,0.015974914
147,1,0.645195209,0.678323614,0.755977527,0.660673333,0.5751475,0.590840085,0.673928744,0.016119527
148,1,0.645195209,0.683309385,0.755977527,0.65379839,0.5751475,0.590840085,0.673928744,0.016119527
149,1,0.643450303,0.678323614,0.755977527,0.65379839,0.57846279,0.590840085,0.672309296,0.016105024
150,1,0.645195209,0.683309385,0.754969868,0.65379839,0.5751475,0.590840085,0.672309296,0.016061578
151,1,0.643450303,0.683309385,0.754969868,0.660673333,0.5751475,0.590840085,0.673928744,0.016148566
152,1,0.643450303,0.683309385,0.754969868,0.65379839,0.5751475,0.590840085,0.673928744,0.016003759
153,1,0.643450303,0.683309385,0.755977527,0.65379839,0.5751475,0.590840085,0.672309296,0.016163101
154,1,0.643450303,0.678323614,0.755977527,0.65379839,0.5751475,0.590840085,0.672309296,0.01613403
155,1,0.641714061,0.678323614,0.755977527,0.65379839,0.5751475,0.590840085,0.673928744,0.016177636
156,1,0.643450303,0.683309385,0.754969868,0.65379839,0.57846279,0.590840085,0.672309296,0.01613403
157,1,0.643450303,0.678323614,0.754969868,0.660673333,0.5751475,0.586931471,0.672309296,0.01598932
158,1,0.639986427,0.683309385,0.754969868,0.65379839,0.5751475,0.586931471,0.673928744,0.016105024
159,1,0.641714061,0.678323614,0.754969868,0.65379839,0.5751475,0.590840085,0.672309296,0.016163101
160,1,0.643450303,0.678323614,0.753964589,0.65379839,0.5751475,0.586931471,0.672309296,0.016018198
161,1,0.641714061,0.678323614,0.753964589,0.65379839,0.571868653,0.586931471,0.672309296,0.015960475
162,1,0.641714061,0.678323614,0.753964589,0.65379839,0.571868653,0.586931471,0.672309296,0.015773867
163,1,0.641714061,0.678323614,0.753964589,0.65379839,0.5751475,0.590840085,0.672309296,0.01584548
164,1,0.641714061,0.678323614,0.754969868,0.65379839,0.5751475,0.586931471,0.672309296,0.015874165
165,1,0.641714061,0.678323614,0.753964589,0.65379839,0.5751475,0.590840085,0.672309296,0.016018198
166,1,0.641714061,0.678323614,0.753964589,0.65379839,0.571868653,0.590840085,0.670696829,0.016003759
167,1,0.639986427,0.678323614,0.752961351,0.65379839,0.5751475,0.586931471,0.670696829,0.016148566
168,1,0.639986427,0.673408075,0.753964589,0.65379839,0.5751475,0.594799431,0.670696829,0.016061578
169,1,0.639986427,0.673408075,0.752961351,0.65379839,0.5751475,0.590840085,0.670696829,0.016105024
170,1,0.639986427,0.678323614,0.752961351,0.647062348,0.5751475,0.586931471,0.672309296,0.016061578
171,1,0.639986427,0.678323614,0.752961351,0.65379839,0.571868653,0.590840085,0.670696829,0.016018198
172,1,0.639986427,0.678323614,0.752961351,0.65379839,0.5751475,0.590840085,0.670696829,0.016047107
173,1,0.639986427,0.673408075,0.752961351,0.65379839,0.571868653,0.586931471,0.670696829,0.016119527
174,1,0.639986427,0.678323614,0.752961351,0.660673333,0.5751475,0.583072665,0.669091414,0.016076049
175,1,0.639986427,0.673408075,0.751960152,0.65379839,0.571868653,0.586931471,0.670696829,0.016105024
176,1,0.639986427,0.678323614,0.752961351,0.65379839,0.5751475,0.586931471,0.670696829,0.016061578
177,1,0.639986427,0.673408075,0.752961351,0.647062348,0.5751475,0.586931471,0.669091414,0.016018198
178,1,0.638267287,0.673408075,0.751960152,0.65379839,0.5751475,0.586931471,0.670696829,0.016105024
179,1,0.638267287,0.678323614,0.751960152,0.647062348,0.571868653,0.583072665,0.670696829,0.016047107
180,1,0.638267287,0.673408075,0.751960152,0.647062348,0.568625644,0.590840085,0.670696829,0.01609052
181,1,0.639986427,0.673408075,0.751960152,0.65379839,0.571868653,0.586931471,0.670696829,0.016105024
182,1,0.638267287,0.673408075,0.752961351,0.647062348,0.571868653,0.586931471,0.670696829,0.016018198
183,1,0.639986427,0.673408075,0.752961351,0.65379839,0.5751475,0.586931471,0.670696829,0.016018198
184,1,0.638267287,0.673408075,0.751960152,0.65379839,0.571868653,0.586931471,0.670696829,0.016119527
185,1,0.639986427,0.678323614,0.751960152,0.65379839,0.5751475,0.586931471,0.670696829,0.016119527
186,1,0.638267287,0.673408075,0.750961334,0.647062348,0.571868653,0.586931471,0.670696829,0.016032636
187,1,0.638267287,0.673408075,0.751960152,0.65379839,0.5751475,0.586931471,0.669091414,0.01598932
188,1,0.636556642,0.668561271,0.750961334,0.647062348,0.568625644,0.586931471,0.667492981,0.016119527
189,1,0.638267287,0.668561271,0.750961334,0.65379839,0.571868653,0.586931471,0.669091414,0.016061578
190,1,0.638267287,0.668561271,0.751960152,0.647062348,0.571868653,0.586931471,0.669091414,0.016061578
191,1,0.638267287,0.668561271,0.750961334,0.647062348,0.571868653,0.583072665,0.667492981,0.016076049
192,1,0.636556642,0.668561271,0.750961334,0.65379839,0.571868653,0.590840085,0.669091414,0.016032636
193,1,0.636556642,0.663781786,0.750961334,0.640461011,0.571868653,0.586931471,0.669091414,0.016163101
194,1,0.634854378,0.668561271,0.750961334,0.647062348,0.568625644,0.583072665,0.669091414,0.015974914
195,1,0.638267287,0.668561271,0.750961334,0.647062348,0.571868653,0.583072665,0.669091414,0.016061578
196,1,0.636556642,0.668561271,0.750961334,0.65379839,0.571868653,0.583072665,0.669091414,0.016105024
197,1,0.636556642,0.668561271,0.750961334,0.65379839,0.571868653,0.586931471,0.669091414,0.016032636
198,1,0.636556642,0.673408075,0.750961334,0.640461011,0.571868653,0.583072665,0.669091414,0.01609052
199,1,0.636556642,0.668561271,0.749964556,0.647062348,0.571868653,0.590840085,0.669091414,0.01598932
200,1,0.634854378,0.668561271,0.750961334,0.647062348,0.571868653,0.583072665,0.667492981,0.015960475
201,1,0.636556642,0.668561271,0.749964556,0.65379839,0.571868653,0.583072665,0.667492981,0.015946068
202,1,0.636556642,0.673408075,0.749964556,0.647062348,0.571868653,0.583072665,0.665901463,0.016076049
203,1,0.636556642,0.668561271,0.749964556,0.647062348,0.571868653,0.583072665,0.667492981,0.016163101
204,1,0.634854378,0.668561271,0.749964556,0.647062348,0.571868653,0.586931471,0.667492981,0.016003759
205,1,0.634854378,0.668561271,0.749964556,0.647062348,0.571868653,0.583072665,0.667492981,0.016032636
206,1,0.636556642,0.668561271,0.749964556,0.640461011,0.571868653,0.583072665,0.667492981,0.016047107
207,1,0.634854378,0.668561271,0.748969988,0.647062348,0.571868653,0.583072665,0.667492981,0.016105024
208,1,0.634854378,0.668561271,0.749964556,0.647062348,0.568625644,0.583072665,0.667492981,0.015960475
209,1,0.634854378,0.668561271,0.749964556,0.647062348,0.571868653,0.583072665,0.667492981,0.016076049
210,1,0.634854378,0.663781786,0.749964556,0.640461011,0.571868653,0.583072665,0.667492981,0.015960475
211,1,0.634854378,0.663781786,0.749964556,0.647062348,0.568625644,0.586931471,0.667492981,0.016018198
212,1,0.634854378,0.668561271,0.749964556,0.640461011,0.571868653,0.583072665,0.667492981,0.01609052
213,1,0.633160498,0.668561271,0.748969988,0.640461011,0.571868653,0.583072665,0.667492981,0.01598932
214,1,0.634854378,0.663781786,0.74797763,0.647062348,0.568625644,0.583072665,0.665901463,0.015974914
215,1,0.633160498,0.668561271,0.748969988,0.640461011,0.571868653,0.583072665,0.667492981,0.016076049
216,1,0.633160498,0.668561271,0.748969988,0.647062348,0.568625644,0.583072665,0.665901463,0.016018198
217,1,0.634854378,0.663781786,0.748969988,0.647062348,0.568625644,0.583072665,0.665901463,0.016003759
218,1,0.634854378,0.663781786,0.748969988,0.647062348,0.571868653,0.583072665,0.665901463,0.01609052
219,1,0.633160498,0.668561271,0.74797763,0.647062348,0.568625644,0.579262701,0.665901463,0.015946068
220,1,0.634854378,0.668561271,0.748969988,0.647062348,0.568625644,0.586931471,0.667492981,0.016119527
221,1,0.633160498,0.668561271,0.74797763,0.647062348,0.568625644,0.583072665,0.665901463,0.016148566
222,1,0.631474887,0.663781786,0.74797763,0.647062348,0.56541789,0.583072665,0.665901463,0.016076049
