No,HN1,HN2,L1,L2,L3,AVG
77,80,80,0.898016997,0.949008499,0.940509915,0.92917847
78,80,96,0.90368272,0.95184136,0.949008499,0.934844193
79,80,112,0.912181303,0.949008499,0.946175637,0.93578848
80,80,128,0.90368272,0.957507082,0.946175637,0.93578848
81,80,144,0.912181303,0.957507082,0.949008499,0.939565628
82,80,160,0.90368272,0.95184136,0.957507082,0.937677054
83,80,176,0.900849858,0.954674221,0.95184136,0.93578848
84,80,192,0.912181303,0.960339943,0.946175637,0.939565628
85,80,208,0.915014164,0.957507082,0.95184136,0.941454202
86,80,224,0.90368272,0.954674221,0.954674221,0.937677054
87,80,240,0.912181303,0.949008499,0.949008499,0.936732767
88,80,256,0.917847025,0.960339943,0.949008499,0.942398489
89,80,272,0.909348442,0.954674221,0.95184136,0.938621341
90,80,288,0.912181303,0.957507082,0.943342776,0.937677054
91,96,16,0.849858357,0.95184136,0.934844193,0.912181303
92,96,32,0.895184136,0.949008499,0.940509915,0.928234183
93,96,48,0.90368272,0.95184136,0.940509915,0.932011331
94,96,64,0.895184136,0.960339943,0.946175637,0.933899906
95,96,80,0.900849858,0.954674221,0.949008499,0.934844193
96,96,96,0.900849858,0.954674221,0.943342776,0.932955619
97,96,112,0.912181303,0.954674221,0.95184136,0.939565628
98,96,128,0.90368272,0.95184136,0.946175637,0.933899906
99,96,144,0.912181303,0.940509915,0.949008499,0.933899906
100,96,160,0.906515581,0.960339943,0.946175637,0.937677054
101,96,176,0.909348442,0.954674221,0.95184136,0.938621341
102,96,192,0.906515581,0.957507082,0.949008499,0.937677054
103,96,208,0.912181303,0.960339943,0.954674221,0.942398489
104,96,224,0.920679887,0.957507082,0.949008499,0.942398489
105,96,240,0.909348442,0.954674221,0.957507082,0.940509915
106,96,256,0.906515581,0.960339943,0.95184136,0.939565628
107,96,272,0.90368272,0.957507082,0.957507082,0.939565628
108,96,288,0.90368272,0.960339943,0.963172805,0.942398489
109,112,16,0.872521246,0.95184136,0.963172805,0.92917847
110,112,32,0.892351275,0.954674221,0.940509915,0.92917847
111,112,48,0.900849858,0.957507082,0.937677054,0.932011331
112,112,64,0.906515581,0.954674221,0.95184136,0.937677054
113,112,80,0.906515581,0.960339943,0.932011331,0.932955619
114,112,96,0.915014164,0.960339943,0.943342776,0.939565628
115,112,112,0.909348442,0.960339943,0.943342776,0.937677054
116,112,128,0.912181303,0.960339943,0.949008499,0.940509915
117,112,144,0.906515581,0.957507082,0.95184136,0.938621341
