Time,Label,MQ2_3,MQ4_3,MQ6_3,MQ9_3,MQ135_3,MQ136_3,MQ137_3,MQ138_3
1,1,0.955886924,0.776366264,0.853106171,0.738012705,0.798316097,0.708341082,0.833762171,0.759633709
2,1,0.955886924,0.776366264,0.851593956,0.73915681,0.797199327,0.708341082,0.832334419,0.760245787
3,1,0.957679687,0.773720789,0.851593956,0.740303967,0.797199327,0.705934572,0.829491775,0.760858509
4,1,0.961283078,0.773720789,0.853106171,0.73915681,0.798316097,0.708341082,0.829491775,0.760858509
5,1,0.963093705,0.773720789,0.851593956,0.73915681,0.797199327,0.705934572,0.826665889,0.760245787
6,1,0.963093705,0.773720789,0.851593956,0.73915681,0.797199327,0.705934572,0.826665889,0.75902163
7,1,0.964910288,0.773720789,0.851593956,0.736871519,0.796085222,0.70354334,0.825259181,0.75902163
8,1,0.964910288,0.773720789,0.851593956,0.736871519,0.797199327,0.705934572,0.82385663,0.758410838
9,1,0.964910288,0.773720789,0.851593956,0.734598171,0.796085222,0.70354334,0.822458106,0.758410838
10,1,0.964910288,0.773720789,0.851593956,0.735733386,0.797199327,0.705934572,0.822458106,0.757800045
11,1,0.966732957,0.773720789,0.850086433,0.733465876,0.797199327,0.70354334,0.821063739,0.757189896
12,1,0.970396424,0.773720789,0.851593956,0.732336633,0.797199327,0.70354334,0.821063739,0.756580389
13,1,0.972237354,0.773720789,0.851593956,0.735733386,0.798316097,0.705934572,0.821063739,0.756580389
14,1,0.970396424,0.771092159,0.850086433,0.734598171,0.797199327,0.705934572,0.819673529,0.755363304
15,1,0.970396424,0.771092159,0.848583601,0.734598171,0.796085222,0.705934572,0.818287216,0.754755084
16,1,0.970396424,0.773720789,0.850086433,0.734598171,0.797199327,0.705934572,0.816905059,0.753540571
17,1,0.970396424,0.773720789,0.848583601,0.733465876,0.802808989,0.70354334,0.816905059,0.752934279
18,1,0.972237354,0.771092159,0.848583601,0.733465876,0.800557298,0.701167246,0.8155268,0.75232863
19,1,0.970396424,0.771092159,0.848583601,0.732336633,0.799435365,0.70354334,0.8155268,0.751722981
20,1,0.970396424,0.771092159,0.847085334,0.732336633,0.796085222,0.70354334,0.8155268,0.751118618
21,1,0.970396424,0.773720789,0.848583601,0.73121031,0.797199327,0.70354334,0.818287216,0.749910534
22,1,0.972237354,0.773720789,0.847085334,0.732336633,0.796085222,0.701167246,0.818287216,0.749307457
23,1,0.972237354,0.773720789,0.847085334,0.73121031,0.797199327,0.70354334,0.816905059,0.74870438
24,1,0.972237354,0.768480218,0.847085334,0.73121031,0.796085222,0.70354334,0.8155268,0.748102588
